,Unnamed: 0.1,Unnamed: 0,_id,price,bedrooms,bathrooms,summary,text,latitude,longitude,property_type,lease,image_url,image_prediction
0,0,0,140073065,525000,2,1.0,"A fantastic central Putney location, two double bedrooms and a terrace, what more could you want!? Situated about 50 metres from Putney High Street this charming property offers both space and convenience. Light and airy throughout the accommodation comprises of a lovely open plan living room/kit...","A fantastic central Putney location, two double bedrooms and a terrace, what more could you want!? Situated about 50 metres from Putney High Street this charming property offers both space and convenience. Light and airy throughout the accommodation comprises of a lovely open plan living room/kitchen two double bedrooms and a bathroom.<br /><br />Located just 50 metres from Putney High Street which offers a number of amenities including cafes, restaurants, bars and supermarkets. Excellent nearby transport links include Putney Train Station, East Putney Underground station, the Thames River Taxi, and bus routes in to Central London.<br />EPC - D Council Tax Band<br /><br />",51.460987,-0.217487,Flat,LEASEHOLD,https://media.rightmove.co.uk/37k/36369/140073065/36369_32600839_IMG_00_0000.jpeg,living room
1,1,1,140073065,525000,2,1.0,"A fantastic central Putney location, two double bedrooms and a terrace, what more could you want!? Situated about 50 metres from Putney High Street this charming property offers both space and convenience. Light and airy throughout the accommodation comprises of a lovely open plan living room/kit...","A fantastic central Putney location, two double bedrooms and a terrace, what more could you want!? Situated about 50 metres from Putney High Street this charming property offers both space and convenience. Light and airy throughout the accommodation comprises of a lovely open plan living room/kitchen two double bedrooms and a bathroom.<br /><br />Located just 50 metres from Putney High Street which offers a number of amenities including cafes, restaurants, bars and supermarkets. Excellent nearby transport links include Putney Train Station, East Putney Underground station, the Thames River Taxi, and bus routes in to Central London.<br />EPC - D Council Tax Band<br /><br />",51.460987,-0.217487,Flat,LEASEHOLD,https://media.rightmove.co.uk/37k/36369/140073065/36369_32600839_IMG_01_0000.jpeg,yard
2,2,2,140073065,525000,2,1.0,"A fantastic central Putney location, two double bedrooms and a terrace, what more could you want!? Situated about 50 metres from Putney High Street this charming property offers both space and convenience. Light and airy throughout the accommodation comprises of a lovely open plan living room/kit...","A fantastic central Putney location, two double bedrooms and a terrace, what more could you want!? Situated about 50 metres from Putney High Street this charming property offers both space and convenience. Light and airy throughout the accommodation comprises of a lovely open plan living room/kitchen two double bedrooms and a bathroom.<br /><br />Located just 50 metres from Putney High Street which offers a number of amenities including cafes, restaurants, bars and supermarkets. Excellent nearby transport links include Putney Train Station, East Putney Underground station, the Thames River Taxi, and bus routes in to Central London.<br />EPC - D Council Tax Band<br /><br />",51.460987,-0.217487,Flat,LEASEHOLD,https://media.rightmove.co.uk/37k/36369/140073065/36369_32600839_IMG_02_0000.jpeg,kitchen
3,3,3,140073065,525000,2,1.0,"A fantastic central Putney location, two double bedrooms and a terrace, what more could you want!? Situated about 50 metres from Putney High Street this charming property offers both space and convenience. Light and airy throughout the accommodation comprises of a lovely open plan living room/kit...","A fantastic central Putney location, two double bedrooms and a terrace, what more could you want!? Situated about 50 metres from Putney High Street this charming property offers both space and convenience. Light and airy throughout the accommodation comprises of a lovely open plan living room/kitchen two double bedrooms and a bathroom.<br /><br />Located just 50 metres from Putney High Street which offers a number of amenities including cafes, restaurants, bars and supermarkets. Excellent nearby transport links include Putney Train Station, East Putney Underground station, the Thames River Taxi, and bus routes in to Central London.<br />EPC - D Council Tax Band<br /><br />",51.460987,-0.217487,Flat,LEASEHOLD,https://media.rightmove.co.uk/37k/36369/140073065/36369_32600839_IMG_03_0000.jpeg,bedroom
4,4,4,140073065,525000,2,1.0,"A fantastic central Putney location, two double bedrooms and a terrace, what more could you want!? Situated about 50 metres from Putney High Street this charming property offers both space and convenience. Light and airy throughout the accommodation comprises of a lovely open plan living room/kit...","A fantastic central Putney location, two double bedrooms and a terrace, what more could you want!? Situated about 50 metres from Putney High Street this charming property offers both space and convenience. Light and airy throughout the accommodation comprises of a lovely open plan living room/kitchen two double bedrooms and a bathroom.<br /><br />Located just 50 metres from Putney High Street which offers a number of amenities including cafes, restaurants, bars and supermarkets. Excellent nearby transport links include Putney Train Station, East Putney Underground station, the Thames River Taxi, and bus routes in to Central London.<br />EPC - D Council Tax Band<br /><br />",51.460987,-0.217487,Flat,LEASEHOLD,https://media.rightmove.co.uk/37k/36369/140073065/36369_32600839_IMG_04_0000.jpeg,living room
5,5,5,140073065,525000,2,1.0,"A fantastic central Putney location, two double bedrooms and a terrace, what more could you want!? Situated about 50 metres from Putney High Street this charming property offers both space and convenience. Light and airy throughout the accommodation comprises of a lovely open plan living room/kit...","A fantastic central Putney location, two double bedrooms and a terrace, what more could you want!? Situated about 50 metres from Putney High Street this charming property offers both space and convenience. Light and airy throughout the accommodation comprises of a lovely open plan living room/kitchen two double bedrooms and a bathroom.<br /><br />Located just 50 metres from Putney High Street which offers a number of amenities including cafes, restaurants, bars and supermarkets. Excellent nearby transport links include Putney Train Station, East Putney Underground station, the Thames River Taxi, and bus routes in to Central London.<br />EPC - D Council Tax Band<br /><br />",51.460987,-0.217487,Flat,LEASEHOLD,https://media.rightmove.co.uk/37k/36369/140073065/36369_32600839_IMG_05_0000.jpeg,bathroom
6,6,6,140073065,525000,2,1.0,"A fantastic central Putney location, two double bedrooms and a terrace, what more could you want!? Situated about 50 metres from Putney High Street this charming property offers both space and convenience. Light and airy throughout the accommodation comprises of a lovely open plan living room/kit...","A fantastic central Putney location, two double bedrooms and a terrace, what more could you want!? Situated about 50 metres from Putney High Street this charming property offers both space and convenience. Light and airy throughout the accommodation comprises of a lovely open plan living room/kitchen two double bedrooms and a bathroom.<br /><br />Located just 50 metres from Putney High Street which offers a number of amenities including cafes, restaurants, bars and supermarkets. Excellent nearby transport links include Putney Train Station, East Putney Underground station, the Thames River Taxi, and bus routes in to Central London.<br />EPC - D Council Tax Band<br /><br />",51.460987,-0.217487,Flat,LEASEHOLD,https://media.rightmove.co.uk/37k/36369/140073065/36369_32600839_IMG_06_0000.jpeg,bedroom
7,7,7,140073065,525000,2,1.0,"A fantastic central Putney location, two double bedrooms and a terrace, what more could you want!? Situated about 50 metres from Putney High Street this charming property offers both space and convenience. Light and airy throughout the accommodation comprises of a lovely open plan living room/kit...","A fantastic central Putney location, two double bedrooms and a terrace, what more could you want!? Situated about 50 metres from Putney High Street this charming property offers both space and convenience. Light and airy throughout the accommodation comprises of a lovely open plan living room/kitchen two double bedrooms and a bathroom.<br /><br />Located just 50 metres from Putney High Street which offers a number of amenities including cafes, restaurants, bars and supermarkets. Excellent nearby transport links include Putney Train Station, East Putney Underground station, the Thames River Taxi, and bus routes in to Central London.<br />EPC - D Council Tax Band<br /><br />",51.460987,-0.217487,Flat,LEASEHOLD,https://media.rightmove.co.uk/37k/36369/140073065/36369_32600839_IMG_07_0000.jpeg,gate
8,8,8,140073065,525000,2,1.0,"A fantastic central Putney location, two double bedrooms and a terrace, what more could you want!? Situated about 50 metres from Putney High Street this charming property offers both space and convenience. Light and airy throughout the accommodation comprises of a lovely open plan living room/kit...","A fantastic central Putney location, two double bedrooms and a terrace, what more could you want!? Situated about 50 metres from Putney High Street this charming property offers both space and convenience. Light and airy throughout the accommodation comprises of a lovely open plan living room/kitchen two double bedrooms and a bathroom.<br /><br />Located just 50 metres from Putney High Street which offers a number of amenities including cafes, restaurants, bars and supermarkets. Excellent nearby transport links include Putney Train Station, East Putney Underground station, the Thames River Taxi, and bus routes in to Central London.<br />EPC - D Council Tax Band<br /><br />",51.460987,-0.217487,Flat,LEASEHOLD,https://media.rightmove.co.uk/37k/36369/140073065/36369_32600839_IMG_08_0000.jpeg,house facade
9,9,9,141799220,375000,1,1.0,A well presented one bedroom in the Hardwicks Square development. The property is in great condition throughout and boasts an open plan kitchen/ reception with direct access to a private balcony.,"A well presented one bedroom in the Hardwicks Square development.  The property is in great condition throughout and boasts an open plan kitchen/ reception with direct access to a private balcony.<br /><br />Hardwick Square is conveniently located close to Southside Shopping Centre which has a range of facilities and shops, as well as an assortment of restaurants and bars.  There are excellent bus and rail links into Central London.  Wandsworth Town and Earlsfield (Mainline) as well as (District Line Tube) all less than a mile away.<br /><br />Selling your property in Hardwicks Square? Trying to find your perfect home to buy? Register with <strong>Chestertons Wandsworth</strong> to get the full picture from the experts in the Wandsworth Park market. <br /><br />Our China Desk is here for you, if Chinese is your preferred language, please get in touch via WeChat (<strong>ChestertonsChinaDesk</strong>)",51.456513,-0.196797,Flat,SHARE_OF_FREEHOLD,https://media.rightmove.co.uk/146k/145460/141799220/145460_WDW150051_IMG_00_0000.jpeg,living room
10,10,10,141799220,375000,1,1.0,A well presented one bedroom in the Hardwicks Square development. The property is in great condition throughout and boasts an open plan kitchen/ reception with direct access to a private balcony.,"A well presented one bedroom in the Hardwicks Square development.  The property is in great condition throughout and boasts an open plan kitchen/ reception with direct access to a private balcony.<br /><br />Hardwick Square is conveniently located close to Southside Shopping Centre which has a range of facilities and shops, as well as an assortment of restaurants and bars.  There are excellent bus and rail links into Central London.  Wandsworth Town and Earlsfield (Mainline) as well as (District Line Tube) all less than a mile away.<br /><br />Selling your property in Hardwicks Square? Trying to find your perfect home to buy? Register with <strong>Chestertons Wandsworth</strong> to get the full picture from the experts in the Wandsworth Park market. <br /><br />Our China Desk is here for you, if Chinese is your preferred language, please get in touch via WeChat (<strong>ChestertonsChinaDesk</strong>)",51.456513,-0.196797,Flat,SHARE_OF_FREEHOLD,https://media.rightmove.co.uk/146k/145460/141799220/145460_WDW150051_IMG_01_0000.jpeg,bedroom
11,11,11,141799220,375000,1,1.0,A well presented one bedroom in the Hardwicks Square development. The property is in great condition throughout and boasts an open plan kitchen/ reception with direct access to a private balcony.,"A well presented one bedroom in the Hardwicks Square development.  The property is in great condition throughout and boasts an open plan kitchen/ reception with direct access to a private balcony.<br /><br />Hardwick Square is conveniently located close to Southside Shopping Centre which has a range of facilities and shops, as well as an assortment of restaurants and bars.  There are excellent bus and rail links into Central London.  Wandsworth Town and Earlsfield (Mainline) as well as (District Line Tube) all less than a mile away.<br /><br />Selling your property in Hardwicks Square? Trying to find your perfect home to buy? Register with <strong>Chestertons Wandsworth</strong> to get the full picture from the experts in the Wandsworth Park market. <br /><br />Our China Desk is here for you, if Chinese is your preferred language, please get in touch via WeChat (<strong>ChestertonsChinaDesk</strong>)",51.456513,-0.196797,Flat,SHARE_OF_FREEHOLD,https://media.rightmove.co.uk/146k/145460/141799220/145460_WDW150051_IMG_02_0000.jpeg,kitchen
